Liquid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O 
46 4000.00 1265.00 100.003481 48.8336 0.699796 14.9188 1.62989 0 6.9808 0.182555 9.24948 0 0 11.9371 1.80527 0.61866 0.10142 3.04259
48 7000.00 1259.00 99.987498 48.8414 0.699908 14.9212 1.4706 0 7.12548 0.182585 9.25096 0 0 11.939 1.80556 0.618759 0.101436 3.04308
47 4000.00 1262.00 100.003572 48.8336 0.699795 14.9188 1.63079 0 6.97998 0.182555 9.24947 0 0 11.9371 1.80527 0.61866 0.10142 3.04259
49 7000.00 1256.00 99.987566 48.8414 0.699907 14.9212 1.47128 0 7.12486 0.182585 9.25095 0 0 11.939 1.80556 0.618759 0.101436 3.04308
25 1000.00 1328.00 99.621556 49.0208 0.702479 14.976 1.80119 0 6.85904 0.183255 9.28494 0 0 11.9829 1.81219 0.621032 0.101809 2.65434
48 4000.00 1259.00 100.003664 48.8335 0.699795 14.9188 1.63172 0 6.97914 0.182555 9.24946 0 0 11.9371 1.80527 0.618659 0.10142 3.04259
50 7000.00 1253.00 99.987636 48.8413 0.699907 14.9212 1.47198 0 7.12422 0.182584 9.25094 0 0 11.939 1.80556 0.618758 0.101436 3.04307
44 10000.00 1279.00 99.972907 48.8485 0.70001 14.9234 1.32515 0 7.25759 0.182611 9.25231 0 0 11.9408 1.80582 0.61885 0.101451 3.04352
49 4000.00 1256.00 100.003759 48.8335 0.699794 14.9188 1.63267 0 6.97828 0.182555 9.24945 0 0 11.9371 1.80527 0.618659 0.101419 3.04258
51 7000.00 1250.00 99.987708 48.8413 0.699906 14.9212 1.4727 0 7.12357 0.182584 9.25094 0 0 11.939 1.80556 0.618758 0.101436 3.04307
45 10000.00 1278.00 99.972919 48.8485 0.70001 14.9234 1.32526 0 7.25749 0.182611 9.25231 0 0 11.9408 1.80582 0.618849 0.101451 3.04352
50 4000.00 1253.00 100.003857 48.8334 0.699793 14.9188 1.63363 0 6.9774 0.182555 9.24944 0 0 11.9371 1.80526 0.618658 0.101419 3.04258
52 7000.00 1247.00 99.987782 48.8413 0.699906 14.9212 1.47344 0 7.1229 0.182584 9.25093 0 0 11.939 1.80555 0.618757 0.101436 3.04307
51 4000.00 1250.00 100.003956 48.8334 0.699793 14.9188 1.63462 0 6.9765 0.182555 9.24943 0 0 11.937 1.80526 0.618657 0.101419 3.04258
53 7000.00 1244.00 99.987858 48.8412 0.699905 14.9212 1.4742 0 7.12221 0.182584 9.25092 0 0 11.939 1.80555 0.618757 0.101436 3.04307
52 4000.00 1247.00 100.004057 48.8333 0.699792 14.9188 1.63564 0 6.97558 0.182554 9.24943 0 0 11.937 1.80526 0.618657 0.101419 3.04257
54 7000.00 1241.00 99.987936 48.8412 0.699905 14.9212 1.47497 0 7.12151 0.182584 9.25092 0 0 11.939 1.80555 0.618756 0.101435 3.04306
27 1000.00 1322.00 99.625730 49.0188 0.702449 14.9754 1.80262 0 6.85741 0.183248 9.28455 0 0 11.9824 1.81212 0.621006 0.101804 2.65827
46 10000.00 1277.00 99.571937 48.8215 0.702552 14.9738 1.32681 0 7.2566 0.183347 9.16358 0 0 11.9798 1.813 0.621342 0.101859 3.0557857
55 7000.00 1238.00 99.988016 48.8411 0.699904 14.9211 1.47577 0 7.12079 0.182584 9.25091 0 0 11.9389 1.80555 0.618756 0.101435 3.04306
54 4000.00 1241.00 100.004267 48.8332 0.699791 14.9187 1.63773 0 6.97368 0.182554 9.24941 0 0 11.937 1.80526 0.618655 0.101419 3.04257
55 4000.00 1238.00 100.004376 48.8332 0.69979 14.9187 1.63881 0 6.9727 0.182554 9.2494 0 0 11.937 1.80525 0.618655 0.101419 3.04256
28 1000.00 1319.00 99.627835 49.0177 0.702435 14.9751 1.80336 0 6.85656 0.183244 9.28435 0 0 11.9821 1.81208 0.620993 0.101802 2.66025
56 4000.00 1235.00 100.004486 48.8331 0.699789 14.9187 1.63991 0 6.9717 0.182554 9.24939 0 0 11.937 1.80525 0.618654 0.101419 3.04256
47 10000.00 1278.00 99.738836 48.8328 0.701491 14.9528 1.32611 0 7.25708 0.18304 9.20052 0 0 11.9635 1.81001 0.620302 0.101689 3.05066
56 7000.00 1235.00 99.717181 48.8645 0.701805 14.9617 1.47605 0 7.10964 0.18258 9.14936 0 0 11.9704 1.81045 0.620437 0.101711 3.05133
29 1000.00 1316.00 99.629951 49.0167 0.70242 14.9748 1.80412 0 6.85569 0.18324 9.28416 0 0 11.9819 1.81204 0.62098 0.1018 2.66224
57 4000.00 1232.00 100.004599 48.833 0.699788 14.9187 1.64103 0 6.97068 0.182553 9.24938 0 0 11.937 1.80525 0.618653 0.101419 3.04256
58 4000.00 1229.00 100.004714 48.833 0.699787 14.9187 1.64218 0 6.96963 0.182553 9.24936 0 0 11.937 1.80525 0.618653 0.101418 3.04255
59 4000.00 1226.00 100.004832 48.8329 0.699787 14.9186 1.64335 0 6.96857 0.182553 9.24935 0 0 11.9369 1.80525 0.618652 0.101418 3.04255
48 10000.00 1279.00 99.906034 48.844 0.700433 14.9318 1.32539 0 7.25749 0.182734 9.23751 0 0 11.9473 1.80702 0.619264 0.101519 3.04556
60 4000.00 1223.00 100.004952 48.8329 0.699786 14.9186 1.64455 0 6.96748 0.182553 9.24934 0 0 11.9369 1.80524 0.618651 0.101418 3.04255
30 1000.00 1313.00 99.632079 49.0156 0.702405 14.9745 1.8049 0 6.85481 0.183236 9.28396 0 0 11.9816 1.812 0.620967 0.101798 2.66423
57 7000.00 1238.00 99.988016 48.8411 0.699904 14.9211 1.47577 0 7.12079 0.182584 9.25091 0 0 11.9389 1.80555 0.618756 0.101435 3.04306
